"FullName","position","total_matches_played_since_2022","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"Blake Lawrie","Interchange",84,0,0,0,0,0
"Reuben Garrick","Winger",87,1,0,1,0.2,0
"Jacob Liddle","Interchange",79,1,1,1,0.2,0.2
"Tevita Tatola","Interchange",66,1,0,1,0.2,0
"JJ Felise","Interchange",7,0,0,0,0,0
"Luke Thompson","Interchange",17,0,0,0,0,0
"Bayley Sironen","Interchange",38,1,0,1,0.2,0
"Jacob Saifiti","2nd Row",76,0,0,0,0,0
"Jaimin Jolliffe","Interchange",62,0,0,0,0,0
"Jaydn Su'A","2nd Row",71,2,1,2,0.4,0.2
"Jed Cartwright","Interchange",27,0,0,0,0,0
"Josh Kerr","Interchange",72,0,0,0,0,0
"Mitchell Dunn","Interchange",10,0,0,0,0,0
"Zac Woolford","Hooker",39,0,0,0,0,0
"Daniel Saifiti","Interchange",72,2,0,2,0.4,0
"Reimis Smith","Centre",44,3,1,2,0.6,0.2
"Esan Marsters","Interchange",7,1,0,1,0.2,0
"Nat Butcher","Interchange",76,2,0,2,0.4,0
"Billy Tsikrikas","Interchange",3,0,0,0,0,0
"Jamayne Taunoa-Brown","Interchange",41,0,0,0,0,0
"Erin Clark","Interchange",90,0,0,0,0,0
"Jordan Pereira","Winger",12,2,0,1,0.4,0
"Reuben Porter","Interchange",9,0,0,0,0,0
"Kurt De Luis","Interchange",8,0,0,0,0,0
"Jayden Okunbor","Winger",27,0,0,0,0,0
"Kruise Leeming","Interchange",12,1,0,1,0.2,0
"Lachlan Lam","Interchange",10,0,0,0,0,0
"Jesse Marschke","Replacement",7,0,2,0,0,0.4
"Victor Radley","Hooker",83,0,1,0,0,0.2
"Sione Katoa","Winger",80,2,1,1,0.4,0.2
"Dane Aukafolau","Replacement",1,0,0,0,0,0
"Dean Matterson","Interchange",10,0,0,0,0,0
"Reece Robson","Interchange",93,1,1,1,0.2,0.2
"Ray Stone","Interchange",64,1,0,1,0.2,0
"Cooper Johns","Halfback",13,0,0,0,0,0
"Junior Pauga","Centre",27,4,0,2,0.8,0
"Patrick Herbert","Centre",18,1,0,1,0.2,0
"Elie El-Zakhem","2nd Row",1,0,0,0,0,0
"Adam Keighran","Five-Eighth",7,0,0,0,0,0
